,0
12,153Eu
13,157Gd
14,159Tb
15,182W
16,206Pb
17,208Pb
18,232Th
19,238U
0,59Co
1,65Cu
2,66Zn
3,88Sr
4,90Zr
5,93Nb
6,107Ag
7,139La
8,140Ce
9,141Pr
10,143Nd
11,146Nd
12,153Eu
13,157Gd
14,182W
15,206Pb
16,208Pb
17,232Th
18,238U
0,59Co
1,65Cu
2,66Zn
3,88Sr
4,90Zr
5,107Ag
6,139La
7,140Ce
8,141Pr
9,143Nd
10,146Nd
11,153Eu
12,157Gd
13,159Tb
14,182W
15,206Pb
16,208Pb
17,232Th
18,238U
0,65Cu
1,88Sr
2,90Zr
3,139La
4,140Ce
5,147Sm
6,149Sm
7,206Pb
8,208Pb
9,238U
0,59Co
1,66Zn
2,88Sr
3,90Zr
4,107Ag
5,139La
6,140Ce
7,141Pr
8,143Nd
9,146Nd
10,149Sm
11,153Eu
12,159Tb
13,182W
14,206Pb
15,208Pb
16,232Th
0,59Co
1,60Ni
2,65Cu
3,66Zn
4,88Sr
5,90Zr
6,107Ag
7,139La
8,140Ce
9,143Nd
10,159Tb
11,182W
12,206Pb
13,208Pb
14,232Th
15,238U
0,88Sr
1,90Zr
2,139La
3,140Ce
4,206Pb
0,59Co
1,65Cu
2,66Zn
3,88Sr
4,90Zr
5,139La
6,140Ce
7,141Pr
8,143Nd
9,146Nd
10,159Tb
11,182W
12,206Pb
13,208Pb
0,59Co
1,65Cu
2,66Zn
3,88Sr
4,90Zr
5,107Ag
6,139La
7,140Ce
8,141Pr
9,143Nd
10,146Nd
11,147Sm
12,149Sm
13,153Eu
14,159Tb
15,182W
16,206Pb
17,208Pb
18,232Th
0,59Co
1,60Ni
2,65Cu
3,66Zn
4,88Sr
5,90Zr
6,93Nb
7,107Ag
8,139La
9,140Ce
10,141Pr
11,143Nd
12,146Nd
13,147Sm
14,149Sm
15,153Eu
16,157Gd
17,159Tb
18,182W
19,206Pb
20,208Pb
21,232Th
22,238U
0,59Co
1,65Cu
2,66Zn
3,88Sr
4,90Zr
5,107Ag
6,139La
7,140Ce
8,141Pr
9,143Nd
10,153Eu
11,159Tb
12,182W
13,206Pb
14,208Pb
15,232Th
0,59Co
1,60Ni
2,65Cu
3,66Zn
4,88Sr
5,90Zr
6,107Ag
7,139La
8,140Ce
9,141Pr
10,143Nd
11,146Nd
12,147Sm
13,149Sm
14,153Eu
15,157Gd
16,159Tb
17,182W
18,206Pb
19,208Pb
20,232Th
21,238U
0,59Co
1,65Cu
2,66Zn
3,88Sr
4,90Zr
5,107Ag
6,139La
7,140Ce
8,146Nd
9,153Eu
10,182W
11,206Pb
12,208Pb
13,232Th
14,238U
0,59Co
1,65Cu
2,66Zn
3,88Sr
4,90Zr
5,107Ag
6,139La
7,140Ce
8,143Nd
9,146Nd
10,153Eu
11,159Tb
12,182W
13,206Pb
14,208Pb
15,232Th
16,238U
0,59Co
1,60Ni
2,66Zn
3,88Sr
4,90Zr
5,93Nb
6,107Ag
7,139La
8,140Ce
9,141Pr
10,143Nd
11,146Nd
12,147Sm
13,153Eu
14,157Gd
15,159Tb
16,182W
17,206Pb
18,208Pb
19,232Th
20,238U
0,59Co
1,65Cu
2,66Zn
3,88Sr
4,90Zr
5,93Nb
6,139La
7,140Ce
8,141Pr
9,143Nd
10,146Nd
11,153Eu
12,159Tb
13,206Pb
14,208Pb
15,232Th
16,238U
0,59Co
1,65Cu
2,66Zn
3,88Sr
4,90Zr
5,95Mo
6,107Ag
7,139La
8,140Ce
9,141Pr
10,143Nd
11,146Nd
12,149Sm
13,157Gd
14,159Tb
15,182W
16,206Pb
17,208Pb
18,232Th
19,238U
0,59Co
1,60Ni
2,65Cu
3,66Zn
4,88Sr
5,90Zr
6,107Ag
7,139La
8,140Ce
9,141Pr
10,143Nd
11,146Nd
12,147Sm
13,153Eu
14,159Tb
15,182W
16,206Pb
17,208Pb
18,232Th
19,238U
0,65Cu
1,66Zn
2,88Sr
3,90Zr
4,107Ag
5,139La
6,140Ce
7,141Pr
8,146Nd
9,159Tb
10,182W
11,206Pb
12,208Pb
13,238U
0,65Cu
1,66Zn
2,88Sr
3,90Zr
4,107Ag
5,139La
6,140Ce
7,206Pb
8,208Pb
0,59Co
1,60Ni
2,66Zn
3,88Sr
4,90Zr
5,95Mo
6,107Ag
7,139La
8,140Ce
9,143Nd
10,146Nd
11,159Tb
12,182W
13,206Pb
14,208Pb
15,232Th
0,59Co
1,88Sr
2,90Zr
3,107Ag
4,139La
5,140Ce
6,146Nd
7,147Sm
8,182W
9,206Pb
10,208Pb
11,232Th
12,238U
0,59Co
1,65Cu
2,66Zn
3,88Sr
4,90Zr
5,107Ag
6,139La
7,140Ce
8,141Pr
9,143Nd
10,146Nd
11,153Eu
12,159Tb
13,182W
14,206Pb
15,208Pb
16,232Th
17,238U
0,59Co
1,60Ni
2,65Cu
3,66Zn
4,88Sr
5,90Zr
6,107Ag
7,139La
8,140Ce
9,141Pr
10,143Nd
11,146Nd
12,147Sm
13,149Sm
14,153Eu
15,157Gd
16,159Tb
17,182W
18,206Pb
19,208Pb
20,232Th
0,59Co
1,65Cu
2,66Zn
3,88Sr
4,90Zr
5,95Mo
6,107Ag
7,109Ag
8,139La
9,140Ce
10,141Pr
11,143Nd
12,146Nd
13,147Sm
14,153Eu
15,159Tb
16,182W
17,206Pb
18,208Pb
19,232Th
20,238U
0,59Co
1,65Cu
2,66Zn
3,88Sr
4,90Zr
5,95Mo
6,107Ag
7,139La
8,140Ce
9,141Pr
10,143Nd
11,146Nd
12,147Sm
13,153Eu
14,157Gd
15,159Tb
16,182W
17,206Pb
18,208Pb
19,232Th
20,238U
0,59Co
1,65Cu
2,66Zn
3,88Sr
4,90Zr
5,93Nb
6,95Mo
7,107Ag
8,109Ag
9,139La
10,140Ce
11,141Pr
12,143Nd
13,146Nd
14,147Sm
15,149Sm
16,153Eu
17,157Gd
18,159Tb
19,182W
20,206Pb
21,208Pb
22,232Th
23,238U
0,88Sr
1,90Zr
2,139La
3,140Ce
4,208Pb
0,59Co
1,60Ni
2,65Cu
3,66Zn
4,88Sr
5,90Zr
6,93Nb
7,107Ag
8,139La
9,140Ce
10,141Pr
11,143Nd
12,146Nd
13,147Sm
14,153Eu
15,157Gd
16,159Tb
17,182W
18,206Pb
19,208Pb
20,232Th
0,59Co
1,65Cu
2,66Zn
3,88Sr
4,90Zr
5,107Ag
6,139La
7,140Ce
8,141Pr
9,143Nd
10,146Nd
11,153Eu
12,159Tb
13,182W
14,206Pb
15,208Pb
16,232Th
17,238U
0,59Co
1,60Ni
2,65Cu
3,66Zn
4,88Sr
5,90Zr
6,93Nb
7,107Ag
8,139La
9,140Ce
10,141Pr
11,143Nd
12,146Nd
13,147Sm
14,149Sm
15,153Eu
16,159Tb
17,182W
18,206Pb
19,208Pb
20,232Th
21,238U
0,59Co
1,60Ni
2,65Cu
3,66Zn
4,88Sr
5,90Zr
6,93Nb
7,95Mo
8,107Ag
9,139La
10,140Ce
11,141Pr
12,143Nd
13,146Nd
14,147Sm
15,149Sm
16,153Eu
17,159Tb
18,182W
19,206Pb
20,208Pb
21,232Th
22,238U
0,59Co
1,65Cu
2,66Zn
3,88Sr
4,90Zr
5,107Ag
6,139La
7,140Ce
8,143Nd
9,146Nd
10,153Eu
11,157Gd
12,182W
13,206Pb
14,208Pb
15,232Th
16,238U
0,65Cu
1,66Zn
2,88Sr
3,90Zr
4,139La
5,140Ce
6,141Pr
7,143Nd
8,146Nd
9,153Eu
10,159Tb
11,182W
12,206Pb
13,208Pb
14,232Th
0,59Co
1,60Ni
2,65Cu
3,66Zn
4,88Sr
5,90Zr
6,93Nb
7,107Ag
8,139La
9,140Ce
10,141Pr
11,143Nd
12,146Nd
13,153Eu
14,159Tb
15,182W
16,206Pb
17,208Pb
18,232Th
19,238U
0,59Co
1,65Cu
2,66Zn
3,88Sr
4,90Zr
5,107Ag
6,139La
7,140Ce
8,141Pr
9,143Nd
10,146Nd
11,149Sm
12,159Tb
13,182W
14,206Pb
15,208Pb
16,232Th
17,238U
0,59Co
1,65Cu
2,66Zn
3,88Sr
4,90Zr
5,93Nb
6,107Ag
7,139La
8,140Ce
9,141Pr
10,143Nd
11,146Nd
12,153Eu
13,159Tb
14,182W
15,206Pb
16,208Pb
17,232Th
0,59Co
1,65Cu
2,66Zn
3,88Sr
4,90Zr
5,107Ag
6,139La
7,140Ce
8,141Pr
9,143Nd
10,146Nd
11,159Tb
12,182W
13,206Pb
14,208Pb
15,232Th
0,59Co
1,65Cu
2,66Zn
3,88Sr
4,90Zr
5,107Ag
6,139La
7,140Ce
8,141Pr
9,143Nd
10,146Nd
11,153Eu
12,159Tb
13,182W
14,206Pb
15,208Pb
16,232Th
0,59Co
1,65Cu
2,66Zn
3,88Sr
4,90Zr
5,107Ag
6,139La
7,140Ce
8,206Pb
9,208Pb
0,65Cu
1,66Zn
2,88Sr
3,107Ag
4,139La
5,140Ce
6,141Pr
7,143Nd
8,146Nd
9,182W
10,206Pb
11,208Pb
0,59Co
1,66Zn
2,88Sr
3,90Zr
4,93Nb
5,95Mo
6,107Ag
7,139La
8,140Ce
9,141Pr
10,143Nd
11,146Nd
12,153Eu
13,159Tb
14,182W
15,206Pb
16,208Pb
17,232Th
18,238U
0,59Co
1,65Cu
2,66Zn
3,88Sr
4,90Zr
5,93Nb
6,107Ag
7,139La
8,140Ce
9,141Pr
10,143Nd
11,146Nd
12,147Sm
13,149Sm
14,153Eu
15,157Gd
16,159Tb
17,182W
18,206Pb
19,208Pb
20,232Th
21,238U
0,66Zn
1,88Sr
2,90Zr
3,107Ag
4,139La
5,140Ce
6,143Nd
7,208Pb
0,59Co
1,65Cu
2,66Zn
3,88Sr
4,90Zr
5,93Nb
6,107Ag
7,139La
8,140Ce
9,141Pr
10,143Nd
11,146Nd
12,159Tb
13,182W
14,206Pb
15,208Pb
16,238U
0,59Co
1,60Ni
2,65Cu
3,66Zn
4,88Sr
5,90Zr
6,95Mo
7,139La
8,140Ce
9,141Pr
10,143Nd
11,146Nd
12,147Sm
13,149Sm
14,153Eu
15,159Tb
16,182W
17,206Pb
18,208Pb
19,232Th
20,238U
0,59Co
1,65Cu
2,66Zn
3,88Sr
4,90Zr
5,93Nb
6,95Mo
7,107Ag
8,139La
9,140Ce
10,141Pr
11,143Nd
12,146Nd
13,147Sm
14,159Tb
15,182W
16,206Pb
17,208Pb
18,232Th
19,238U
0,65Cu
1,66Zn
2,88Sr
3,90Zr
4,107Ag
5,139La
6,140Ce
7,143Nd
8,146Nd
9,159Tb
10,206Pb
11,208Pb
12,232Th
0,59Co
1,65Cu
2,66Zn
3,88Sr
4,90Zr
5,107Ag
6,139La
7,140Ce
8,141Pr
9,146Nd
10,159Tb
11,182W
12,206Pb
13,208Pb
14,232Th
0,65Cu
1,66Zn
2,88Sr
3,90Zr
4,93Nb
5,95Mo
6,107Ag
7,139La
8,140Ce
9,141Pr
10,143Nd
11,146Nd
12,147Sm
13,153Eu
14,157Gd
15,159Tb
16,182W
17,206Pb
18,208Pb
19,232Th
20,238U
0,59Co
1,65Cu
2,66Zn
3,88Sr
4,90Zr
5,139La
6,140Ce
7,141Pr
8,143Nd
9,146Nd
10,147Sm
11,159Tb
12,182W
13,206Pb
14,208Pb
15,232Th
0,59Co
1,65Cu
2,66Zn
3,88Sr
4,90Zr
5,107Ag
6,139La
7,140Ce
8,141Pr
9,143Nd
10,146Nd
11,159Tb
12,182W
13,206Pb
14,208Pb
15,232Th
16,238U
0,65Cu
1,66Zn
2,88Sr
3,90Zr
4,139La
5,140Ce
6,143Nd
7,159Tb
8,208Pb
0,59Co
1,60Ni
2,65Cu
3,66Zn
4,88Sr
5,90Zr
6,93Nb
7,95Mo
8,107Ag
9,109Ag
10,139La
11,140Ce
12,141Pr
13,143Nd
14,146Nd
15,147Sm
16,149Sm
17,153Eu
18,157Gd
19,159Tb
20,182W
21,206Pb
22,208Pb
23,232Th
24,238U
0,88Sr
1,90Zr
2,139La
3,140Ce
4,208Pb
0,59Co
1,65Cu
2,66Zn
3,88Sr
4,90Zr
5,107Ag
6,139La
7,140Ce
8,141Pr
9,143Nd
10,149Sm
11,153Eu
12,159Tb
13,182W
14,206Pb
15,208Pb
16,232Th
0,59Co
1,65Cu
2,66Zn
3,88Sr
4,90Zr
5,93Nb
6,95Mo
7,107Ag
8,139La
9,140Ce
10,141Pr
11,143Nd
12,146Nd
13,147Sm
14,149Sm
15,153Eu
16,157Gd
17,159Tb
18,182W
19,206Pb
20,208Pb
21,232Th
0,59Co
1,65Cu
2,66Zn
3,88Sr
4,90Zr
5,93Nb
6,107Ag
7,139La
8,140Ce
9,141Pr
10,146Nd
11,153Eu
12,159Tb
13,182W
14,206Pb
15,208Pb
16,232Th
0,65Cu
1,66Zn
2,88Sr
3,90Zr
4,107Ag
5,139La
6,140Ce
7,143Nd
8,153Eu
9,159Tb
10,182W
11,206Pb
12,208Pb
13,232Th
0,107Ag
1,139La
2,140Ce
3,208Pb
0,59Co
1,65Cu
2,66Zn
3,88Sr
4,90Zr
5,93Nb
6,107Ag
7,139La
8,140Ce
9,141Pr
10,143Nd
11,146Nd
12,147Sm
13,149Sm
14,153Eu
15,157Gd
16,159Tb
17,182W
18,206Pb
19,208Pb
20,232Th
0,59Co
1,60Ni
2,65Cu
3,66Zn
4,88Sr
5,107Ag
6,139La
7,140Ce
8,143Nd
9,159Tb
10,206Pb
11,208Pb
0,66Zn
1,88Sr
2,90Zr
3,139La
4,140Ce
5,182W
6,208Pb
7,238U
0,59Co
1,65Cu
2,66Zn
3,88Sr
4,90Zr
5,107Ag
6,139La
7,140Ce
8,143Nd
9,146Nd
10,182W
11,206Pb
12,208Pb
13,232Th
14,238U
0,59Co
1,66Zn
2,88Sr
3,90Zr
4,107Ag
5,139La
6,140Ce
7,143Nd
8,147Sm
9,153Eu
10,206Pb
11,208Pb
0,59Co
1,60Ni
2,65Cu
3,66Zn
4,88Sr
5,90Zr
6,107Ag
7,139La
8,140Ce
9,141Pr
10,143Nd
11,146Nd
12,149Sm
13,153Eu
14,159Tb
15,182W
16,206Pb
17,208Pb
18,232Th
19,238U
0,59Co
1,65Cu
2,66Zn
3,88Sr
4,90Zr
5,93Nb
6,107Ag
7,139La
8,140Ce
9,141Pr
10,143Nd
11,146Nd
12,153Eu
13,159Tb
14,182W
15,206Pb
16,208Pb
17,232Th
18,238U
0,59Co
1,60Ni
2,65Cu
3,66Zn
4,88Sr
5,90Zr
6,93Nb
7,107Ag
8,139La
9,140Ce
10,146Nd
11,159Tb
12,206Pb
13,208Pb
0,65Cu
1,66Zn
2,88Sr
3,90Zr
4,93Nb
5,107Ag
6,139La
7,140Ce
8,141Pr
9,143Nd
10,146Nd
11,153Eu
12,159Tb
13,182W
14,206Pb
15,208Pb
16,232Th
17,238U
0,65Cu
1,66Zn
2,88Sr
3,90Zr
4,95Mo
5,107Ag
6,139La
7,140Ce
8,141Pr
9,143Nd
10,147Sm
11,149Sm
12,153Eu
13,159Tb
14,206Pb
15,208Pb
16,232Th
17,238U
0,88Sr
1,90Zr
2,139La
3,140Ce
4,143Nd
5,208Pb
0,59Co
1,65Cu
2,66Zn
3,88Sr
4,90Zr
5,107Ag
6,139La
7,140Ce
8,141Pr
9,143Nd
10,146Nd
11,153Eu
12,159Tb
13,182W
14,206Pb
15,208Pb
16,232Th
17,238U
0,59Co
1,60Ni
2,65Cu
3,66Zn
4,88Sr
5,90Zr
6,107Ag
7,139La
8,140Ce
9,143Nd
10,146Nd
11,147Sm
12,153Eu
13,159Tb
14,182W
15,206Pb
16,208Pb
17,232Th
18,238U
0,59Co
1,65Cu
2,66Zn
3,88Sr
4,90Zr
5,93Nb
6,107Ag
7,139La
8,140Ce
9,141Pr
10,153Eu
11,159Tb
12,206Pb
13,208Pb
14,232Th
15,238U
0,59Co
1,65Cu
2,66Zn
3,88Sr
4,107Ag
5,139La
6,140Ce
7,141Pr
8,143Nd
9,149Sm
10,159Tb
11,206Pb
12,208Pb
13,232Th
0,59Co
1,65Cu
2,66Zn
3,88Sr
4,90Zr
5,93Nb
6,107Ag
7,139La
8,140Ce
9,141Pr
10,143Nd
11,146Nd
12,153Eu
13,159Tb
14,182W
15,206Pb
16,208Pb
17,232Th
18,238U
0,59Co
1,65Cu
2,66Zn
3,88Sr
4,90Zr
5,93Nb
6,95Mo
7,107Ag
8,109Ag
9,139La
10,140Ce
11,141Pr
12,143Nd
13,146Nd
14,147Sm
15,149Sm
16,153Eu
17,157Gd
18,159Tb
19,182W
20,206Pb
21,208Pb
22,232Th
23,238U
0,59Co
1,65Cu
2,66Zn
3,88Sr
4,90Zr
5,107Ag
6,139La
7,140Ce
8,141Pr
9,143Nd
10,159Tb
11,206Pb
12,208Pb
0,59Co
1,65Cu
2,66Zn
3,88Sr
4,90Zr
5,139La
6,140Ce
7,143Nd
8,159Tb
9,182W
10,206Pb
11,208Pb
0,59Co
1,65Cu
2,66Zn
3,88Sr
4,90Zr
5,107Ag
6,139La
7,140Ce
8,141Pr
9,143Nd
10,146Nd
11,153Eu
12,159Tb
13,182W
14,206Pb
15,208Pb
16,232Th
17,238U
0,65Cu
1,66Zn
2,88Sr
3,90Zr
4,93Nb
5,95Mo
6,107Ag
7,139La
